BID,Project,Product_Code,WBS,Status,Bug_hours,Created,Updated
1,02392,WCS,1.3.3.x.2.y.1,C,21,2016/09/08 11:28,2016/09/20 10:11
2,02367,WCS,1.3.3.x.3.y.1,C,4,2016/09/07 07:43,2016/09/14 08:30
3,02367,WCS,1.3.3.x.2.y.1,C,19,2016/09/06 13:15,2016/09/15 10:28
4,02392,WCS,1.3.3.x.3.y.1,C,12,2016/09/06 10:19,2016/09/14 14:29
5,02392,WCS,1.3.3.x.3.y.1,C,4,2016/08/23 16:47,2016/09/06 15:49
6,02392,WCS,1.3.3.x.2.y.1,C,18,2016/08/09 16:48,2016/08/25 16:07
7,02392,WCS,1.3.3.x.2.y.1,C,10,2016/08/09 12:42,2016/08/30 17:34
8,02392,WCS,1.3.1.x.y.1.1,C,20,2016/08/01 17:24,2016/09/06 15:51
9,02247,WCS,1.3.3.x.3.y.1,C,19,2016/07/26 15:13,2016/08/31 11:17
10,02392,WCS,1.3.3.x.3.y.1,C,7,2016/07/26 14:01,2016/08/26 14:44
11,02247,WCS,1.3.3.x.2.y.1,C,18,2016/07/26 10:28,2016/09/06 15:27
12,02392,WCS,1.3.3.x.3.y.1,C,18,2016/07/26 10:22,2016/09/06 15:22
13,02392,WCS,1.3.3.x.3.y.1,C,21,2016/07/25 14:49,2016/08/26 14:54
14,02392,WCS,1.2.x.y.1.1,C,16,2016/07/25 12:31,2016/07/28 10:54
15,02471,WCS,1.3.3.x.3.y.1,C,13,2016/06/27 16:45,2016/07/22 12:24
16,02471,WCS,1.3.3.x.2.y.1,C,13,2016/07/01 10:42,2016/09/02 16:21
17,02471,WCS,1.3.3.x.2.y.1,C,15,2016/06/30 16:15,2016/08/01 16:19
18,02247,WCS,1.3.3.x.3.y.1,C,7,2016/06/28 14:53,2016/08/31 12:00
19,02471,WCS,1.3.3.x.3.y.1,C,20,2016/06/24 15:08,2016/07/14 13:04
20,02392,WCS,1.3.3.x.2.y.1,C,6,2016/06/22 09:03,2016/08/30 16:45
21,02392,WCS,1.3.3.x.2.y.1,C,19,2016/06/22 08:57,2016/08/30 16:42
22,02392,WCS,1.3.3.x.2.y.1,C,22,2016/06/14 10:20,2016/09/01 15:04
