Project_Product_ID,WBS_ID
1,1.1.1.x.2.1
1,1.7.x.1
1,1.8.1.x.1
1,1.8.2.x.1
1,1.8.2.x.2
3,1.1.2.x.y.1
3,1.1.2.x.y.2
3,1.1.2.x.y.3
3,1.2.x.y.1.1
3,1.2.x.y.2.1
3,1.2.x.y.3.1
3,1.3.3.x.2.y.1
3,1.3.3.x.3.y.1
3,1.5.x.y.3
5,1.1.2.x.y.1
5,1.1.2.x.y.2
5,1.1.2.x.y.3
5,1.3.1.x.y.1.1
5,1.8.3.x.2
7,1.1.2.x.y.1
7,1.1.2.x.y.2
7,1.1.2.x.y.3
7,1.2.x.y.1.1
7,1.2.x.y.2.1
7,1.2.x.y.3.1
7,1.3.3.x.2.y.1
7,1.3.3.x.3.y.1
7,1.5.x.y.3
9,1.1.1.x.3.1.1
9,1.1.1.x.3.1.2
9,1.1.1.x.3.2.1
9,1.1.1.x.3.2.2
9,1.1.1.x.3.3.1
11,1.1.1.x.1.1
11,1.1.1.x.1.2
11,1.1.1.x.1.3
2,1.1.1.x.2.1
2,1.7.x.1
2,1.8.1.x.1
2,1.8.2.x.1
2,1.8.2.x.2
4,1.1.2.x.y.1
4,1.1.2.x.y.2
4,1.1.2.x.y.3
4,1.1.2.x.y.4
4,1.2.x.y.1.1
4,1.2.x.y.3.1
4,1.3.3.x.2.y.1
4,1.3.3.x.3.y.1
4,1.5.x.y.3
6,1.1.2.x.y.1
6,1.1.2.x.y.2
6,1.1.2.x.y.3
6,1.10.x.1.2
6,1.3.1.x.y.1.1
8,1.1.2.x.y.1
8,1.1.2.x.y.2
8,1.1.2.x.y.3
8,1.1.2.x.y.4
8,1.2.x.y.1.1
8,1.2.x.y.3.1
8,1.3.3.x.2.y.1
8,1.3.3.x.3.y.1
8,1.5.x.y.3
10,1.1.1.x.3.1.1
10,1.1.1.x.3.1.2
10,1.1.1.x.3.2.1
10,1.1.1.x.3.2.2
10,1.1.1.x.3.3.1
12,1.1.1.x.1.1
12,1.1.1.x.1.2
12,1.1.1.x.1.3
